behavior_template_id,domain_id,behavior_code,name_ko,definition,rule_json,targetability_class,evidence_status
DOM-01-BEH-01,DOM-01,music_audio.behavior_01,음악·오디오 반복 핵심 이용,frequency_intensity에서 '거의 매일' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""music_audio.frequency_intensity"",""op"":""eq"",""value"":""거의 매일""}",proxy_targetable,template_not_population_estimate
DOM-01-BEH-02,DOM-01,music_audio.behavior_02,음악·오디오 주간 정기 이용,frequency_intensity에서 '주 1–4회' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""music_audio.frequency_intensity"",""op"":""eq"",""value"":""주 1–4회""}",proxy_targetable,template_not_population_estimate
DOM-01-BEH-03,DOM-01,music_audio.behavior_03,음악·오디오 직접 검색 탐색,discovery에서 '직접 검색' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""music_audio.discovery"",""op"":""eq"",""value"":""직접 검색""}",proxy_targetable,template_not_population_estimate
DOM-01-BEH-04,DOM-01,music_audio.behavior_04,음악·오디오 추천 기반 발견,discovery에서 '알고리즘 추천' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""music_audio.discovery"",""op"":""eq"",""value"":""알고리즘 추천""}",proxy_targetable,template_not_population_estimate
DOM-01-BEH-05,DOM-01,music_audio.behavior_05,음악·오디오 가족·동료 공동결정,decision_unit에서 '가구 공동' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""music_audio.decision_unit"",""op"":""eq"",""value"":""가구 공동""}",proxy_targetable,template_not_population_estimate
DOM-01-BEH-06,DOM-01,music_audio.behavior_06,음악·오디오 플랫폼 중개 접근,acquisition_access에서 '플랫폼 중개' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""music_audio.acquisition_access"",""op"":""eq"",""value"":""플랫폼 중개""}",proxy_targetable,template_not_population_estimate
DOM-01-BEH-07,DOM-01,music_audio.behavior_07,음악·오디오 평가·공유 참여,engagement_participation에서 '평가·공유' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""music_audio.engagement_participation"",""op"":""eq"",""value"":""평가·공유""}",proxy_targetable,template_not_population_estimate
DOM-01-BEH-08,DOM-01,music_audio.behavior_08,음악·오디오 가격·혜택 전환,loyalty_switching에서 '가격·혜택 전환' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""music_audio.loyalty_switching"",""op"":""eq"",""value"":""가격·혜택 전환""}",proxy_targetable,template_not_population_estimate
DOM-01-BEH-09,DOM-01,music_audio.behavior_09,음악·오디오 프리미엄 선택 지출,spending_value에서 '프리미엄·고액' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""music_audio.spending_value"",""op"":""eq"",""value"":""프리미엄·고액""}",proxy_targetable,template_not_population_estimate
DOM-01-BEH-10,DOM-01,music_audio.behavior_10,음악·오디오 휴면·이탈 위험,lifecycle_stage에서 '휴면·이탈' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""music_audio.lifecycle_stage"",""op"":""eq"",""value"":""휴면·이탈""}",contextual_only,template_not_population_estimate
DOM-02-BEH-01,DOM-02,video_ott.behavior_01,영상·OTT 반복 핵심 이용,frequency_intensity에서 '거의 매일' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""video_ott.frequency_intensity"",""op"":""eq"",""value"":""거의 매일""}",proxy_targetable,template_not_population_estimate
DOM-02-BEH-02,DOM-02,video_ott.behavior_02,영상·OTT 주간 정기 이용,frequency_intensity에서 '주 1–4회' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""video_ott.frequency_intensity"",""op"":""eq"",""value"":""주 1–4회""}",proxy_targetable,template_not_population_estimate
DOM-02-BEH-03,DOM-02,video_ott.behavior_03,영상·OTT 직접 검색 탐색,discovery에서 '직접 검색' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""video_ott.discovery"",""op"":""eq"",""value"":""직접 검색""}",proxy_targetable,template_not_population_estimate
DOM-02-BEH-04,DOM-02,video_ott.behavior_04,영상·OTT 추천 기반 발견,discovery에서 '알고리즘 추천' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""video_ott.discovery"",""op"":""eq"",""value"":""알고리즘 추천""}",proxy_targetable,template_not_population_estimate
DOM-02-BEH-05,DOM-02,video_ott.behavior_05,영상·OTT 가족·동료 공동결정,decision_unit에서 '가구 공동' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""video_ott.decision_unit"",""op"":""eq"",""value"":""가구 공동""}",proxy_targetable,template_not_population_estimate
DOM-02-BEH-06,DOM-02,video_ott.behavior_06,영상·OTT 플랫폼 중개 접근,acquisition_access에서 '플랫폼 중개' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""video_ott.acquisition_access"",""op"":""eq"",""value"":""플랫폼 중개""}",proxy_targetable,template_not_population_estimate
