dimension_id,domain_id,axis_code,applicability,applicability_reason,allowed_values_json,sort_order
DOM-01-DIM-01,DOM-01,object,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""대중음악"",""인디·장르음악"",""팟캐스트·토크"",""아티스트·팬덤""]",1
DOM-01-DIM-02,DOM-01,format,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""스트리밍"",""뮤직비디오·숏폼"",""피지컬 음반"",""공연·라이브""]",2
DOM-01-DIM-03,DOM-01,occasion,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""이동·통근"",""집중·업무"",""휴식·기분전환"",""팬 활동""]",3
DOM-01-DIM-04,DOM-01,location,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",4
DOM-01-DIM-05,DOM-01,frequency_intensity,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",5
DOM-01-DIM-06,DOM-01,discovery,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",6
DOM-01-DIM-07,DOM-01,acquisition_access,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",7
DOM-01-DIM-08,DOM-01,consumption_mode,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""배경 청취"",""능동 탐색"",""소셜 공유"",""창작·연주""]",8
DOM-01-DIM-09,DOM-01,device_channel_platform,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",9
DOM-01-DIM-10,DOM-01,payment_monetization,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무료·광고형"",""구독"",""곡·앨범 구매"",""공연·굿즈""]",10
DOM-01-DIM-11,DOM-01,decision_unit,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",11
DOM-01-DIM-12,DOM-01,engagement_participation,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",12
DOM-01-DIM-13,DOM-01,motivation_job,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""기분 조절"",""새 음악 발견"",""정체성 표현"",""아티스트 지지""]",13
DOM-01-DIM-14,DOM-01,barrier_risk_trust,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""구독 피로"",""추천 편향"",""가격 부담"",""티켓·권리 신뢰""]",14
DOM-01-DIM-15,DOM-01,loyalty_switching,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",15
DOM-01-DIM-16,DOM-01,spending_value,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",16
DOM-02-DIM-01,DOM-02,object,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""드라마"",""영화"",""예능"",""다큐·정보""]",1
DOM-02-DIM-02,DOM-02,format,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""장편 VOD"",""숏폼"",""라이브"",""클립·하이라이트""]",2
DOM-02-DIM-03,DOM-02,occasion,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""퇴근 후"",""주말 몰아보기"",""이동 중"",""가족 공동시청""]",3
DOM-02-DIM-04,DOM-02,location,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",4
DOM-02-DIM-05,DOM-02,frequency_intensity,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",5
DOM-02-DIM-06,DOM-02,discovery,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",6
DOM-02-DIM-07,DOM-02,acquisition_access,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",7
DOM-02-DIM-08,DOM-02,consumption_mode,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""몰입 시청"",""배경 재생"",""동시 시청"",""리뷰·공유""]",8
DOM-02-DIM-09,DOM-02,device_channel_platform,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",9
DOM-02-DIM-10,DOM-02,payment_monetization,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무료·광고형"",""단일 구독"",""묶음 구독"",""건별 대여·구매""]",10
DOM-02-DIM-11,DOM-02,decision_unit,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",11
DOM-02-DIM-12,DOM-02,engagement_participation,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",12
DOM-02-DIM-13,DOM-02,motivation_job,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""서사 몰입"",""휴식"",""화제 참여"",""정보 습득""]",13
DOM-02-DIM-14,DOM-02,barrier_risk_trust,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""구독 중복"",""탐색 피로"",""스포일러"",""콘텐츠 신뢰""]",14
DOM-02-DIM-15,DOM-02,loyalty_switching,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",15
DOM-02-DIM-16,DOM-02,spending_value,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",16
