domain_feature_id,domain_id,dimension_id,feature_code,label_ko,data_type,allowed_values_json,observable_status,targetability_class,queryable
DOM-01-FEAT-01,DOM-01,DOM-01-DIM-01,music_audio.object,음악·오디오 object,category,"[""대중음악"",""인디·장르음악"",""팟캐스트·토크"",""아티스트·팬덤""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-02,DOM-01,DOM-01-DIM-02,music_audio.format,음악·오디오 format,category,"[""스트리밍"",""뮤직비디오·숏폼"",""피지컬 음반"",""공연·라이브""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-03,DOM-01,DOM-01-DIM-03,music_audio.occasion,음악·오디오 occasion,category,"[""이동·통근"",""집중·업무"",""휴식·기분전환"",""팬 활동""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-04,DOM-01,DOM-01-DIM-04,music_audio.location,음악·오디오 location,category,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-05,DOM-01,DOM-01-DIM-05,music_audio.frequency_intensity,음악·오디오 frequency_intensity,category,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-06,DOM-01,DOM-01-DIM-06,music_audio.discovery,음악·오디오 discovery,category,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-07,DOM-01,DOM-01-DIM-07,music_audio.acquisition_access,음악·오디오 acquisition_access,category,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-08,DOM-01,DOM-01-DIM-08,music_audio.consumption_mode,음악·오디오 consumption_mode,category,"[""배경 청취"",""능동 탐색"",""소셜 공유"",""창작·연주""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-09,DOM-01,DOM-01-DIM-09,music_audio.device_channel_platform,음악·오디오 device_channel_platform,category,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-10,DOM-01,DOM-01-DIM-10,music_audio.payment_monetization,음악·오디오 payment_monetization,category,"[""무료·광고형"",""구독"",""곡·앨범 구매"",""공연·굿즈""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-11,DOM-01,DOM-01-DIM-11,music_audio.decision_unit,음악·오디오 decision_unit,category,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-12,DOM-01,DOM-01-DIM-12,music_audio.engagement_participation,음악·오디오 engagement_participation,category,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-13,DOM-01,DOM-01-DIM-13,music_audio.motivation_job,음악·오디오 motivation_job,category,"[""기분 조절"",""새 음악 발견"",""정체성 표현"",""아티스트 지지""]",inferred_hypothesis,contextual_only,true
DOM-01-FEAT-14,DOM-01,DOM-01-DIM-14,music_audio.barrier_risk_trust,음악·오디오 barrier_risk_trust,category,"[""구독 피로"",""추천 편향"",""가격 부담"",""티켓·권리 신뢰""]",inferred_hypothesis,contextual_only,true
DOM-01-FEAT-15,DOM-01,DOM-01-DIM-15,music_audio.loyalty_switching,음악·오디오 loyalty_switching,category,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-16,DOM-01,DOM-01-DIM-16,music_audio.spending_value,음악·오디오 spending_value,category,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",observable_or_declared,proxy_targetable,true
DOM-01-FEAT-17,DOM-01,,music_audio.recency,음악·오디오 최근 이용 시점,category,"[""7일 이내"",""30일 이내"",""12개월 이내"",""12개월 초과""]",derived,contextual_only,true
DOM-01-FEAT-18,DOM-01,,music_audio.lifecycle_stage,음악·오디오 도메인 생애주기,category,"[""잠재"",""신규"",""활성"",""휴면·이탈""]",derived,contextual_only,true
DOM-01-FEAT-19,DOM-01,,music_audio.need_state,음악·오디오 미충족 필요 상태,category,"[""충족"",""부분 충족"",""대안 탐색"",""접근 불가""]",derived,contextual_only,true
DOM-01-FEAT-20,DOM-01,,music_audio.evidence_strength,음악·오디오 근거 강도,category,"[""직접 관측"",""공식 사전분포"",""합성 프록시"",""탐색적 가설""]",derived,contextual_only,true
