segmentation_model_id,domain_id,algorithm,sample_size,weighted_support,effective_sample_size,candidate_k_json,selected_k,random_seeds_json,selection_rationale,artifact_uri,artifact_sha256,membership_uri,membership_sha256,status,model_version,run_id
DOM-01-MODEL-01,DOM-01,gaussian_mixture,1000,44361.44418800161,999.054925261572,"[3,4,5,6]",4,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/music_audio.joblib,dd295d862a4c9d12b8a4ce1a74ca9f354ef84984c3bb1942e3a83f6e2ac50eea,data/processed/phase2/memberships/music_audio.parquet,1231078c0ff274278d6811198effe073eb0abb674043cf7ca3bc8b58e09ee64f,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-02-MODEL-01,DOM-02,gaussian_mixture,1000,44355.634850448216,999.0584319116192,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/video_ott.joblib,fea68cefe9d2185eea278562742691fca75e5f9e2b17743f75c1294f609af5da,data/processed/phase2/memberships/video_ott.parquet,d36b018e2ceebafb6f77c1b80d19f53ff02c76319800dc4d47be245d3f40afec,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-03-MODEL-01,DOM-03,gaussian_mixture,1000,44428.81357484729,999.0171203734313,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/gaming_esports.joblib,2deb7052a36f59fd6f06a95c900261b3edb705ceced33120e152b0f100a0ca14,data/processed/phase2/memberships/gaming_esports.parquet,36ee674671758ca2b9e7f3272c92b3131bc621bb2d2ef5ff0dc56269412f6348,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-04-MODEL-01,DOM-04,gaussian_mixture,1000,44340.43085748298,999.0640508980406,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/reading_webtoon.joblib,a8466f06f1b929c2283559c58c26a56b9276f77a676514cfdafd8bc3f82b71c8,data/processed/phase2/memberships/reading_webtoon.parquet,b45b34777d14e0f208eadc12a24c89b055b22c8543ad19a27ba5d844ebdde621,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-05-MODEL-01,DOM-05,gaussian_mixture,1000,44379.44957930384,999.0353782646731,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/culture_events.joblib,c2bff92ce6d026b43e16692aeb2dc139c99f4602f61738779ba92cbbb9a0f93d,data/processed/phase2/memberships/culture_events.parquet,4307c02049804e60dc7887bc85d0a28cb509ad5ea9604270876d6269628e44e4,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-06-MODEL-01,DOM-06,gaussian_mixture,1000,44374.85968952169,999.046304902523,"[3,4,5,6]",4,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/grocery_home_meals.joblib,f01547e89df8eae2ceb615ac35d910a16dcb5e1a47b01212d1e28475fd08ed69,data/processed/phase2/memberships/grocery_home_meals.parquet,df15a60dd90262f9de1481e28c672f533acfa5b71a782e48cda95083fe1ad66a,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-07-MODEL-01,DOM-07,gaussian_mixture,1000,44345.29833295754,999.0628834247243,"[3,4,5,6]",5,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/dining_delivery_cafe.joblib,9458774b48d244eb1a6a5be1c8334534746e0d73910f3e7438ee68f5d1b2910b,data/processed/phase2/memberships/dining_delivery_cafe.parquet,547d999c375b65ea63658ac577a59a5dcdfbe2892fa67359460402d974a5f815,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-08-MODEL-01,DOM-08,gaussian_mixture,990,44005.37874276915,989.0218658672896,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/fashion_resale.joblib,cd5d45ed8d38124de0782aae4881b037d2726797dbbbdfd94fd970a79f2c6e07,data/processed/phase2/memberships/fashion_resale.parquet,d9bb6a287f4e17d34b75f43f15bae14efed0ded989f64ecdaaad151339710ce5,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-09-MODEL-01,DOM-09,gaussian_mixture,1000,44412.975315524614,999.0317651691178,"[3,4,5,6]",5,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/beauty_personal_care.joblib,55b5f173d7038ad6321dba1836880e5a313abcf8f3fc322ae4116f66990d67e6,data/processed/phase2/memberships/beauty_personal_care.parquet,bca8b873fa45278acdebaf1ae4590f93e1d7a9a4a6208ba4280c24fc8852fe3d,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-10-MODEL-01,DOM-10,gaussian_mixture,1000,44361.90110609133,999.0596527167241,"[3,4,5,6]",5,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/travel_hospitality.joblib,e60cd21128aff947b93982da81312cd9b55d11a0ee6ff545445e1cc060eb0e89,data/processed/phase2/memberships/travel_hospitality.parquet,a622df587099d4420f9ed2b360a915da6913b73b4d23dcdec573b075f6abd497,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
