subtype_id,population_confidence_score,population_confidence_grade,interpretation_confidence_score,interpretation_confidence_grade,targetability_confidence_score,targetability_confidence_grade,source_quality_score,sample_support_score,stability_component_score,directness_score,validation_score,total_score,grade,interval_method,gaps_json,validation_plan_json
DOM-01-SUB-01,32,E,54,D,18,E,16,17,7,7,7,54,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-01-SUB-02,32,E,56,C,18,E,16,19,7,7,7,56,C,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-01-SUB-03,32,E,51,D,18,E,16,14,7,7,7,51,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-01-SUB-04,32,E,53,D,18,E,16,16,7,7,7,53,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-02-SUB-01,32,E,47,D,18,E,8,18,14,4,3,47,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-02-SUB-02,32,E,47,D,18,E,8,18,14,4,3,47,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-02-SUB-03,32,E,45,D,18,E,8,16,14,4,3,45,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-03-SUB-01,32,E,45,D,18,E,8,18,12,4,3,45,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-03-SUB-02,32,E,41,D,18,E,8,14,12,4,3,41,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-03-SUB-03,32,E,46,D,18,E,8,19,12,4,3,46,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-04-SUB-01,32,E,40,D,18,E,8,18,7,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-04-SUB-02,32,E,39,D,18,E,8,17,7,4,3,39,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-04-SUB-03,32,E,40,D,18,E,8,18,7,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
